"id","pid","address","price","dom","first_seen","last_seen","status","gone_date","hoa"
"632-South-St,-Holyoke,-MA-01040","F_356122_2898942","632 South St, Holyoke, MA 01040","1100000","146","2026-06-21","2026-08-24","lingering","",""
"9-Owens-Pl,-Holyoke,-MA-01040","F_353979_2904083","9 Owens Pl, Holyoke, MA 01040","270000","110","2026-06-21","2026-08-24","lingering","",""
"113-Pearl-St,-South-Hadley,-MA-01075","M_112050_893249","113 Pearl St, South Hadley, MA 01075","898000","277","2026-06-21","2026-08-24","lingering","",""
"125-Pearl-St,-South-Hadley,-MA-01075","M_111924_893234","125 Pearl St, South Hadley, MA 01075","997000","277","2026-06-21","2026-08-24","lingering","",""
"3-Elizabeth-Ln,-Unit-3,-Easthampton,-MA-01027","M_103575_891379","3 Elizabeth Ln, Unit 3, Easthampton, MA 01027","659900","217","2026-06-21","2026-08-24","lingering","","475"
"12-School-St,-Northampton,-MA-01060","M_106508_896616","12 School St, Northampton, MA 01060","645000","319","2026-06-21","2026-08-24","lingering","",""
"13-Elizabeth-Ln,-Unit-13,-Easthampton,-MA-01027","M_103575_891379","13 Elizabeth Ln, Unit 13, Easthampton, MA 01027","659900","217","2026-06-21","2026-08-24","lingering","","475"
"1-Elizabeth-Ln,-Unit-1,-Easthampton,-MA-01027","M_103575_891379","1 Elizabeth Ln, Unit 1, Easthampton, MA 01027","649900","217","2026-06-21","2026-08-24","lingering","","475"
"36-Torrey,-Easthampton,-MA-01027","M_99783_893027","36 Torrey, Easthampton, MA 01027","355000","346","2026-06-21","2026-08-24","lingering","",""
"5-Elizabeth-Ln,-Unit-5,-Easthampton,-MA-01027","M_103575_891379","5 Elizabeth Ln, Unit 5, Easthampton, MA 01027","659900","217","2026-06-21","2026-08-24","lingering","","475"
"1-23-Eastern-Ave,-Northampton,-MA-01060","M_107324_897030","1-23 Eastern Ave, Northampton, MA 01060","2950000","188","2026-06-21","2026-08-17","gone","2026-08-24",""
"277-River-Dr,-Hadley,-MA-01035","M_111532_905160","277 River Dr, Hadley, MA 01035","259000","133","2026-06-21","2026-08-24","lingering","",""
"17-Adams-St,-Easthampton,-MA-01027","M_103843_891305","17 Adams St, Easthampton, MA 01027","1150000","129","2026-06-21","2026-08-24","lingering","",""
"64-66-Pleasant-St,-Easthampton,-MA-01027","M_103768_891970","64-66 Pleasant St, Easthampton, MA 01027","995000","126","2026-06-21","2026-08-24","lingering","",""
"351-Pleasant-St,-Apt-9,-Northampton,-MA-01060","M_107185_896738","351 Pleasant St, Apt 9, Northampton, MA 01060","329900","43","2026-06-21","2026-08-24","lingering","","297"
"9-Mill-Valley-Rd,-Hadley,-MA-01035","M_112073_900189","9 Mill Valley Rd, Hadley, MA 01035","1295000","89","2026-06-21","2026-08-24","lingering","",""
"Westhampton-Rd,-Northampton,-MA-01062","M_100381_895104","Westhampton Rd, Northampton, MA 01062","1560000","88","2026-06-21","2026-08-24","lingering","",""
"33-Landy-Ave,-Northampton,-MA-01062","M_103529_898363","33 Landy Ave, Northampton, MA 01062","849900","81","2026-06-21","2026-08-24","lingering","",""
"63-Dryads-Grn,-Northampton,-MA-01060","M_105563_897177","63 Dryads Grn, Northampton, MA 01060","1175000","74","2026-06-21","2026-08-24","lingering","",""
"5-Deer-Meadow-Way,-Unit-5,-South-Hadley,-MA-01075","M_110638_891020","5 Deer Meadow Way, Unit 5, South Hadley, MA 01075","579000","71","2026-06-21","2026-08-24","lingering","","400"
"Straits-Rd,-Hatfield,-MA-01038","F_357495_2968590","Straits Rd, Hatfield, MA 01038","160000","69","2026-06-21","2026-08-24","lingering","",""
"102-Lyman-St,-Unit-102,-South-Hadley,-MA-01075","M_110511_887803","102 Lyman St, Unit 102, South Hadley, MA 01075","399500","43","2026-06-21","2026-08-24","lingering","","325"
"15-Tiffany-Ln,-Northampton,-MA-01062","M_99806_895311","15 Tiffany Ln, Northampton, MA 01062","629000","70","2026-06-21","2026-08-24","lingering","",""
"310-South-St,-Northampton,-MA-01060","M_105895_895871","310 South St, Northampton, MA 01060","1049999","67","2026-06-21","2026-08-24","lingering","",""
"351-Pleasant-St,-Apt-11,-Northampton,-MA-01060","M_107185_896738","351 Pleasant St, Apt 11, Northampton, MA 01060","349900","68","2026-06-21","2026-08-24","lingering","","363"
"827-831-Armory-St,-Springfield,-MA-01107","F_358373_2873700","827-831 Armory St, Springfield, MA 01107","430000","105","2026-06-21","2026-08-24","lingering","",""
"16-Fair-Ln,-Westfield,-MA-01085","F_316075_2888498","16 Fair Ln, Westfield, MA 01085","100000","102","2026-06-21","2026-08-24","lingering","","461"
"33-35-Algonquin-Pl,-Springfield,-MA-01104","F_359468_2870119","33-35 Algonquin Pl, Springfield, MA 01104","374900","91","2026-06-21","2026-08-17","gone","2026-08-24",""
"8-Emerald-Ave,-Westfield,-MA-01085","F_323201_2881562","8 Emerald Ave, Westfield, MA 01085","565900","89","2026-06-21","2026-08-24","lingering","",""
"21-Fourth-Ave,-Westfield,-MA-01085","F_316075_2888498","21 Fourth Ave, Westfield, MA 01085","89999","70","2026-06-21","2026-08-24","lingering","","461"
"4-Ladyslipper-Ln,-Hadley,-MA-01035","M_112639_907708","4 Ladyslipper Ln, Hadley, MA 01035","534900","72","2026-06-21","2026-08-24","lingering","",""
"79-State-Rd,-Whately,-MA-01093","M_107644_908812","79 State Rd, Whately, MA 01093","515000","139","2026-06-21","2026-08-24","lingering","",""
"16-Old-Long-Plain-Rd,-Leverett,-MA-01054","M_115073_910429","16 Old Long Plain Rd, Leverett, MA 01054","575000","81","2026-06-21","2026-08-17","gone","2026-08-24",""
"137-Carroll-St,-Springfield,-MA-01108","F_371802_2855237","137 Carroll St, Springfield, MA 01108","329900","404","2026-06-21","2026-08-24","lingering","",""
"34-Sumner-Ave,-Apt-208,-Springfield,-MA-01108","F_364254_2857231","34 Sumner Ave, Apt 208, Springfield, MA 01108","179000","238","2026-06-21","2026-08-24","lingering","","352"
"38-Manchester-Ter,-Springfield,-MA-01108","F_373517_2856206","38 Manchester Ter, Springfield, MA 01108","375000","168","2026-06-21","2026-08-24","lingering","",""
"16-Pioneer-Way,-Springfield,-MA-01119","F_383799_2877355","16 Pioneer Way, Springfield, MA 01119","99000","191","2026-06-21","2026-08-17","gone","2026-08-24","345"
"270-Maple-St,-Springfield,-MA-01105","F_363862_2862219","270 Maple St, Springfield, MA 01105","1150000","168","2026-06-21","2026-08-24","lingering","",""
"1030-Worthington-St,-Springfield,-MA-01109","F_364085_2868465","1030 Worthington St, Springfield, MA 01109","199000","132","2026-06-21","2026-08-17","gone","2026-08-24",""
"34-Sumner-Ave,-Apt-301,-Springfield,-MA-01108","F_364254_2857231","34 Sumner Ave, Apt 301, Springfield, MA 01108","209000","144","2026-06-21","2026-08-24","lingering","","394"
"80-Yorktown-Dr,-Unit-80,-Springfield,-MA-01108","F_370329_2851764","80 Yorktown Dr, Unit 80, Springfield, MA 01108","259900","144","2026-06-21","2026-08-24","lingering","","433"
"16-Mobile-Home-Way,-Springfield,-MA-01119","F_383749_2876217","16 Mobile Home Way, Springfield, MA 01119","115000","132","2026-06-21","2026-08-24","lingering","","345"
"235-State-St,-Apt-111,-Springfield,-MA-01103","F_362223_2864615","235 State St, Apt 111, Springfield, MA 01103","255000","146","2026-06-21","2026-08-24","lingering","","497"
"34-Sumner-Ave,-Apt-210,-Springfield,-MA-01108","F_364254_2857231","34 Sumner Ave, Apt 210, Springfield, MA 01108","224900","130","2026-06-21","2026-08-24","lingering","","408"
"58-Appleton-St,-Springfield,-MA-01108","F_370263_2855267","58 Appleton St, Springfield, MA 01108","305000","106","2026-06-21","2026-08-24","lingering","",""
"147-Belvidere-St,-Springfield,-MA-01108","F_372358_2855936","147 Belvidere St, Springfield, MA 01108","349999","28","2026-06-21","2026-08-24","lingering","",""
